word, core, background
block2              , 0.00010377, 6.0804e-30
pathai              , 1.7269e-20, 0.00018241
community           , 8.6996e-05, 0.00031385
carborundum         , 0.00010377, 6.0804e-30
assumption          , 0.00020754, 6.0804e-30
patullos            , 0.00010377, 6.0804e-30
kovoor              , 5.1885e-05, 3.0402e-05
dharga              , 0.00010377, 6.0804e-30
ltd                 , 5.0344e-29, 0.0012161
picola              , 0.00010377, 6.0804e-30
pnb                 , 0.00010377, 6.0804e-30
appadurai           , 0.00010377, 6.0804e-30
subramaniyar        , 0.00010377, 6.0804e-30
bora                , 0.00020754, 6.0804e-30
pettai              , 2.251e-23, 0.00024322
gori                , 0.00010376, 4.5581e-09
bounce              , 0.00010377, 6.0804e-30
heat                , 4.9133e-05, 3.2014e-05
tiffin              , 0.00010377, 7.3405e-10
mohans              , 5.1252e-05, 3.0773e-05
saibaba             , 0.00031131, 2.6386e-15
dlf                 , 0.00018707, 7.2797e-05
48th                , 0.00031131, 6.0804e-30
moores              , 0.00010377, 6.0804e-30
traffic             , 0.00010377, 6.0804e-30
otthai              , 0.00010377, 6.0804e-30
sena                , 0.00010377, 1.3697e-10
gee                 , 5.1496e-05, 9.1434e-05
aloft               , 0.00010377, 6.0804e-30
yadhaval            , 0.00010377, 6.0804e-30
sunflower           , 0.00010377, 6.0804e-30
provident           , 4.2208e-05, 3.6072e-05
vasanth             , 0.00020754, 6.0804e-30
vigneswarar         , 5.1885e-05, 3.0402e-05
opp                 , 0.00010377, 6.0804e-30
besant              , 0.0015799, 0.00022952
mandaveli           , 0.0011415, 6.0804e-30
cake                , 0.00031131, 6.0804e-30
outpost             , 0.00020753, 7.1126e-09
stansfield          , 0.00010377, 6.0804e-30
kalingarayan        , 0.00010377, 6.0804e-30
recreation          , 4.92e-05, 3.1975e-05
sheshwar            , 0.00010377, 6.0804e-30
dhimaraja           , 0.00010377, 6.0804e-30
professor           , 5.0634e-05, 3.1135e-05
choolaimedu         , 0.00051885, 6.0804e-30
night               , 0.00010377, 6.0804e-30
dhanammal           , 0.00010377, 6.0804e-30
turf                , 1.0377e-29, 6.0804e-05
med                 , 5.1885e-05, 3.0402e-05
lifeline            , 5.1252e-05, 3.0773e-05
narmadha            , 0.00010377, 6.0804e-30
tirisulam           , 0.00031131, 6.0804e-30
lakshamanan         , 0.00010377, 6.0804e-30
vsp                 , 0.00020754, 6.7506e-21
margaret            , 5.1251e-05, 3.0773e-05
sannadhi            , 0.0003537, 9.6767e-05
woodlands           , 0.00031131, 6.0804e-30
water               , 7.9769e-09, 0.0016417
jafer               , 1.0231e-24, 6.0804e-05
navkar              , 0.00010377, 6.0804e-30
cycles              , 1.6714e-29, 0.00012161
eldorado            , 0.00010377, 6.0804e-30
koodam              , 5.1885e-05, 3.0402e-05
of                  , 3.2778e-13, 0.0070533
multispeciality     , 5.0362e-05, 3.1294e-05
zaitoon             , 0.00010377, 6.0804e-30
nedanghe            , 5.1885e-05, 3.0402e-05
spjs                , 5.1885e-05, 3.0402e-05
annadurai           , 0.00020754, 2.364e-11
ashoknagar          , 5.1559e-05, 3.0593e-05
karur               , 5.1885e-05, 9.1206e-05
engineering         , 2.7789e-07, 0.0018848
dhawan              , 3.459e-05, 4.0536e-05
prasath             , 1.0377e-29, 0.00012161
nanganallur         , 0.00076144, 0.00016187
poonga              , 0.00021209, 0.00017974
court               , 0.00023512, 0.0010783
koyyathoppu         , 0.00010377, 6.0804e-30
marina              , 9.076e-12, 0.00018241
nagammai            , 0.00010377, 6.0804e-30
hyatt               , 0.00010377, 6.0804e-30
tirumangai          , 0.00010377, 6.0804e-30
yamunodhri          , 0.00010377, 6.0804e-30
singapore           , 0.00041508, 6.0804e-30
sozhipalayam        , 0.00010377, 6.0804e-30
meppur              , 0.00010377, 6.0804e-30
dominics            , 0.00010377, 6.0804e-30
nagar               , 2.7982e-27, 0.040982
old                 , 8.3401e-06, 0.0011504
malini              , 4.6395e-05, 3.3619e-05
ramer               , 0.00010377, 6.0804e-30
aparments           , 4.9888e-05, 3.1572e-05
thyagappa           , 0.00010377, 6.0804e-30
santhanammal        , 0.00010377, 6.0804e-30
poompuhar           , 0.00020754, 6.0804e-30
mandi               , 1.0377e-29, 0.00012161
interior            , 1.0377e-29, 6.0804e-05
